"Freq [GHz]","cang_rad(S(Port,Port)) [rad]"
1.98875,-3.66948922818533
1.99,-3.70127521109467
1.99125,-3.73069891333996
1.9925,-3.75552624163301
1.99375,-3.7708474564677
1.995,-3.76309744179937
1.99625,-3.67569153214079
1.9975,-2.88910374973752
1.99875,-1.29731882693894
2,-1.13191083989777
2.00125,-1.10836357870225
2.0025,-1.1179057683534
2.00375,-1.13987586400878
2.005,-1.16757429432705
2.00625,-1.19815111393551
2.0075,-1.23017078582903
2.00875,-1.26282146316356
2.01,-1.29560462387544
2.01125,-1.32819581457551
2.0125,-1.36037548336336
2.01375,-1.39199168242546
2.015,-1.42293849694277
2.01625,-1.45314277117009
2.0175,-1.48255547042087
2.01875,-1.51114577041749
2.02,-1.5388968308527
2.02125,-1.56580265876402
2.0225,-1.59186570973958
2.02375,-1.61709501054845
2.025,-1.64150466496155
2.02625,-1.66511265089817
2.0275,-1.68793984532072
2.02875,-1.71000923108132
2.03,-1.73134525147066
2.03125,-1.75197328600002
2.0325,-1.77191922639572
2.03375,-1.79120913576039
2.035,-1.80986897686458
2.03625,-1.82792439789065
2.0375,-1.84540056584854
2.03875,-1.86232203944277
2.04,-1.87871267447115
2.04125,-1.89459555593053
2.0425,-1.90999295193272
2.04375,-1.92492628532112
2.045,-1.93941611954801
2.04625,-1.95348215594113
2.0475,-1.96714323997025
2.04875,-1.98041737453315
2.05,-1.9933217386249
2.05125,-2.00587271004513
2.0525,-2.018085891042
2.05375,-2.02997613599618
2.055,-2.04155758041904
2.05625,-2.05284367068159
2.0575,-2.06384719400916
2.05875,-2.07458030837447
2.06,-2.08505457200299
2.06125,-2.09528097227042
2.0625,-2.10526995382719
2.06375,-2.11503144582876
2.065,-2.12457488818701
2.06625,-2.13390925678678
2.0675,-2.14304308763513
2.06875,-2.15198449992967
2.07,-2.16074121804638
2.07125,-2.1693205924596
2.0725,-2.17772961961472
2.07375,-2.18597496078156
2.075,-2.19406295992063
2.07625,-2.20199966059818
2.0775,-2.20979082198819
2.07875,-2.21744193400067
2.08,-2.22495823157641
2.08125,-2.23234470818819
2.0825,-2.23960612858808
2.08375,-2.24674704083986
2.085,-2.2537717876743
2.08625,-2.26068451720399
2.0875,-2.26748919303303
2.08875,-2.27418960379547
2.09,-2.28078937215481
2.09125,-2.28729196329548
2.0925,-2.29370069293563
2.09375,-2.30001873488897
2.095,-2.30624912820219
2.09625,-2.31239478389272
2.0975,-2.31845849131056
2.09875,-2.32444292414612
2.1,-2.33035064610534
2.10125,-2.33618411627143
2.1025,-2.34194569417211
2.10375,-2.34763764456952
2.105,-2.35326214198937
2.10625,-2.35882127500462
2.1075,-2.36431705028818
2.10875,-2.36975139644832
2.11,-2.37512616765927
2.11125,-2.38044314709934
2.1125,-2.38570405020745
2.11375,-2.39091052776886
2.115,-2.39606416883983
2.11625,-2.40116650352063
2.1175,-2.40621900558554
2.11875,-2.4112230949779
2.12,-2.41618014017825
2.12125,-2.4210914604523
2.1225,-2.42595832798589
2.12375,-2.43078196991304
2.125,-2.43556357024325
2.12625,-2.44030427169349
2.1275,-2.44500517743022
2.12875,-2.44966735272651
2.13,-2.45429182653864
2.13125,-2.45887959300688
2.1325,-2.4634316128843
2.13375,-2.46794881489761
2.135,-2.47243209704373
2.13625,-2.47688232782532
2.1375,-2.48130034742873
2.13875,-2.48568696884727
2.14,-2.49004297895266
2.14125,-2.49436913951748
2.1425,-2.49866618819095
2.14375,-2.50293483943074
2.145,-2.50717578539273
2.14625,-2.51138969678115
2.1475,-2.51557722366088
2.14875,-2.51973899623404
2.15,-2.52387562558238
2.15125,-2.52798770437746
2.1525,-2.53207580756001
2.15375,-2.53614049299006
2.155,-2.54018230206927
2.15625,-2.54420176033682
2.1575,-2.5481993780401
2.15875,-2.55217565068142
2.16,-2.55613105954192
2.16125,-2.56006607218375
2.1625,-2.56398114293147
2.16375,-2.5678767133338
2.165,-2.57175321260646
2.16625,-2.57561105805711
2.1675,-2.57945065549317
2.16875,-2.58327239961326
2.17,-2.58707667438309
2.17125,-2.59086385339642
2.1725,-2.59463430022187
2.17375,-2.59838836873606
2.175,-2.60212640344387
2.17625,-2.60584873978621
2.1775,-2.60955570443598
2.17875,-2.61324761558272
2.18,-2.61692478320636
2.18125,-2.6205875093406
2.1825,-2.62423608832646
2.18375,-2.62787080705618
2.185,-2.63149194520812
2.18625,-2.63509977547296
2.1875,-2.63869456377148
2.18875,-2.64227656946437
2.19,-2.64584604555448
2.19125,-2.64940323888153
2.1925,-2.65294839030997
2.19375,-2.65648173491
2.195,-2.66000350213205
2.19625,-2.66351391597523
2.1975,-2.66701319514961
2.19875,-2.67050155323292
2.2,-2.67397919882172
2.20125,-2.67744633567726
2.2025,-2.68090316286633
2.20375,-2.68434987489718
2.205,-2.68778666185085
2.20625,-2.69121370950794
2.2075,-2.69463119947109
2.20875,-2.6980393092833
2.21,-2.70143821254229
2.21125,-2.70482807901096
2.2125,-2.70820907472429
2.21375,-2.71158136209248
2.215,-2.71494510000093
2.21625,-2.71830044390672
2.2175,-2.72164754593203
2.21875,-2.72498655495452
2.22,-2.72831761669476
2.22125,-2.7316408738008
2.2225,-2.7349564659301
2.22375,-2.73826452982881
2.225,-2.74156519940847
2.22625,-2.74485860582037
2.2275,-2.74814487752755
2.22875,-2.75142414037448
2.23,-2.75469651765462
2.23125,-2.75796213017591
2.2325,-2.76122109632415
2.23375,-2.76447353212451
2.235,-2.76771955130113
2.23625,-2.77095926533489
2.2375,-2.77419278351947
2.23875,-2.77742021301567
2.24,-2.78064165890413
2.24125,-2.78385722423648
2.2425,-2.78706701008497
2.24375,-2.79027111559062
2.245,-2.79346963800994
2.24625,-2.79666267276034
2.2475,-2.79985031346414
2.24875,-2.80303265199139
2.25,-2.80620977850136
