"Freq [GHz]","dB(S(Port,Port)) []"
1.9125,-0.525832553514463
1.91375,-0.541185863037752
1.915,-0.557192708442083
1.91625,-0.573889617204054
1.9175,-0.591315636672846
1.91875,-0.609512540081895
1.92,-0.628525051956437
1.92125,-0.648401094974846
1.9225,-0.669192060583487
1.92375,-0.690953105937756
1.925,-0.713743480050614
1.92625,-0.737626882378593
1.9275,-0.76267185747049
1.92875,-0.788952229751617
1.93,-0.816547583024923
1.93125,-0.845543789847938
1.9325,-0.876033596601554
1.93375,-0.908117270815881
1.935,-0.941903318172538
1.93625,-0.977509277579146
1.9375,-1.01506260382906
1.93875,-1.05470164864026
1.94,-1.09657675233759
1.94125,-1.14085146013541
1.9425,-1.18770387892806
1.94375,-1.23732819275093
1.945,-1.2899363576871
1.94625,-1.34576000003055
1.9475,-1.40505254505517
1.94875,-1.46809160787944
1.95,-1.53518168277959
1.95125,-1.60665717304309
1.9525,-1.68288581026277
1.95375,-1.76427252009465
1.955,-1.85126380125966
1.95625,-1.94435269637344
1.9575,-2.04408444758706
1.95875,-2.15106294774169
1.96,-2.26595811976135
1.96125,-2.38951438466031
1.9625,-2.52256041365355
1.96375,-2.66602040496301
1.965,-2.82092718455566
1.96625,-2.98843750724531
1.9675,-3.16985003749038
1.96875,-3.36662662814178
1.97,-3.58041770536328
1.97125,-3.81309283111591
1.9725,-4.06677788403308
1.97375,-4.34390082526689
1.975,-4.64724877494224
1.97625,-4.98004023772218
1.9775,-5.3460179751929
1.97875,-5.74957054298399
1.98,-6.19589441954387
1.98125,-6.6912148627759
1.9825,-7.24309376724202
1.98375,-7.86086987279593
1.985,-8.55630652317452
1.98625,-9.34457662105233
1.9875,-10.2458188932351
1.98875,-11.2877124587823
1.99,-12.5099833520262
1.99125,-13.9728765390141
1.9925,-15.7746435157206
1.99375,-18.0925665991476
1.995,-21.2988676277972
1.99625,-26.39787743617
1.9975,-36.4315623396764
1.99875,-29.0403211349356
2,-22.7404190060152
2.00125,-19.0794945390233
2.0025,-16.5304687186779
2.00375,-14.5907994397563
2.005,-13.0372677079331
2.00625,-11.7514510142092
2.0075,-10.6628830240864
2.00875,-9.72611205275838
2.01,-8.91000628812547
2.01125,-8.19222488606196
2.0125,-7.55612784118997
2.01375,-6.98894015295851
2.015,-6.4806060503393
2.01625,-6.02304406806062
2.0175,-5.60964564730322
2.01875,-5.23492735610218
2.02,-4.89428318515279
2.02125,-4.58380388949627
2.0225,-4.30014237616358
2.02375,-4.04041143002647
2.025,-3.80210461961804
2.02625,-3.58303413538088
2.0275,-3.3812812167506
2.02875,-3.19515609471267
2.03,-3.02316523914099
2.03125,-2.86398429571908
2.0325,-2.71643551458808
2.03375,-2.57946876955597
2.035,-2.45214548053189
2.03625,-2.33362490800724
2.0375,-2.22315240392164
