"Freq [GHz]","dB(S(Port,Port)) []"
2.18875,-0.156640315533187
2.19,-0.155002226577483
2.19125,-0.153394800985294
2.1925,-0.151817306615028
2.19375,-0.150269033848376
2.195,-0.148749294776935
2.19625,-0.147257422422975
2.1975,-0.145792769992613
2.19875,-0.144354710159974
2.2,-0.142942634380822
2.20125,-0.141555952234259
2.2025,-0.140194090791313
2.20375,-0.138856494009042
2.205,-0.137542622149015
2.20625,-0.136251951219115
2.2075,-0.134983972437598
2.20875,-0.133738191718261
2.21,-0.132514129176034
2.21125,-0.131311318651808
2.2125,-0.130129307255857
2.21375,-0.128967654928878
2.215,-0.127825934020032
2.21625,-0.126703728881077
2.2175,-0.125600635475995
2.21875,-0.124516261005458
2.22,-0.123450223545426
2.22125,-0.12240215169928
2.2225,-0.121371684263014
2.22375,-0.120358469902772
2.225,-0.119362166844368
2.22625,-0.118382442574158
2.2275,-0.117418973550875
2.22875,-0.116471444927964
2.23,-0.115539550285909
2.23125,-0.114622991374248
2.2325,-0.113721477862805
2.23375,-0.112834727101797
2.235,-0.111962463890427
2.23625,-0.111104420253688
2.2375,-0.110260335226935
2.23875,-0.109429954648064
2.24,-0.108613030956812
2.24125,-0.107809323001158
2.2425,-0.107018595850192
2.24375,-0.106240620613569
2.245,-0.105475174266998
2.24625,-0.104722039483734
2.2475,-0.103981004471712
2.24875,-0.103251862816178
2.25,-0.102534413327549
