"Freq [GHz]","cang_rad(S(Port,Port)) [rad]"
1.91125,-2.61032928569938
1.9125,-2.61772683936506
1.91375,-2.62525545920492
1.915,-2.63292013007996
1.91625,-2.64072607708922
1.9175,-2.64867877901152
1.91875,-2.65678398254552
1.92,-2.6650477173905
1.92125,-2.67347631221103
1.9225,-2.68207641152831
1.92375,-2.69085499358116
1.925,-2.69981938919786
1.92625,-2.70897730171828
1.9275,-2.7183368280024
1.92875,-2.72790648055663
1.93,-2.73769521080287
1.93125,-2.74771243350691
1.9325,-2.75796805237147
1.93375,-2.76847248678476
1.935,-2.77923669969769
1.93625,-2.79027222657969
1.9375,-2.80159120537513
1.93875,-2.81320640734723
1.94,-2.82513126865369
1.94125,-2.83737992244599
1.9425,-2.84996723122084
1.94375,-2.86290881907614
1.945,-2.8762211034314
1.94625,-2.88992132566328
1.9475,-2.90402757997541
1.94875,-2.91855883966731
1.95,-2.93353497978377
1.95125,-2.94897679491239
1.9525,-2.9649060106466
1.95375,-2.98134528694241
1.955,-2.99831821126401
1.95625,-3.0158492790339
1.9575,-3.03396385847362
1.95875,-3.05268813644138
1.96,-3.07204904134275
1.96125,-3.09207413861339
1.9625,-3.11279149365589
1.96375,-3.13422949646585
1.965,-3.15641664152196
1.96625,-3.1793812558583
1.9675,-3.20315116760796
1.96875,-3.22775330672225
1.97,-3.25321322903794
1.97125,-3.27955455436363
1.9725,-3.30679830870332
1.97375,-3.33496215993215
1.975,-3.36405953477537
1.97625,-3.39409860201938
1.9775,-3.42508110100816
1.97875,-3.45700098286977
1.98,-3.48984280936927
1.98125,-3.52357981083876
1.9825,-3.55817142057898
1.98375,-3.59355993764342
1.985,-3.62966563361155
1.98625,-3.66637890254401
1.9875,-3.70354642631544
1.98875,-3.74094431048521
1.99,-3.77822009367512
1.99125,-3.81475045414851
1.9925,-3.84922578217064
1.99375,-3.87806638558321
1.995,-3.88549518214268
1.99625,-3.44971138829599
1.9975,-0.994061188177642
1.99875,-0.984538953966003
2,-1.01011488540618
2.00125,-1.04326936586811
2.0025,-1.07899689815699
2.00375,-1.11564113600734
2.005,-1.15246413557555
2.00625,-1.18906943225283
2.0075,-1.22521565363034
2.00875,-1.26074343498306
2.01,-1.29554248457969
2.01125,-1.32953498768883
2.0125,-1.3626663742464
2.01375,-1.39489968263835
2.015,-1.42621180469257
2.01625,-1.45659078165366
2.0175,-1.48603372947365
2.01875,-1.51454517060411
2.02,-1.54213565005164
2.02125,-1.56882056568842
2.0225,-1.59461917039051
2.02375,-1.61955371829129
2.025,-1.64364873536319
2.02625,-1.66693039888918
2.0275,-1.68942601287693
2.02875,-1.71116356802644
2.03,-1.73217137597012
2.03125,-1.75247776841401
2.0325,-1.77211085263317
2.03375,-1.79109831556613
2.035,-1.80946726952221
2.03625,-1.82724413326102
2.0375,-1.8444545429176
2.03875,-1.86112328791785
2.04,-1.87727426765377
2.04125,-1.89293046525814
2.0425,-1.90811393533473
2.04375,-1.92284580296016
2.045,-1.93714627168189
2.04625,-1.95103463859361
2.0475,-1.96452931488033
2.04875,-1.97764785049424
2.05,-1.99040696185258
2.05125,-2.00282256164592
2.0525,-2.01490979001223
2.05375,-2.02668304647325
2.055,-2.03815602214846
2.05625,-2.04934173186146
2.0575,-2.0602525458363
2.05875,-2.07090022074989
2.06,-2.08129592996385
2.06125,-2.09145029280505
2.0625,-2.10137340280305
2.06375,-2.11107485482264
2.065,-2.1205637710556
2.06625,-2.129848825855
2.0675,-2.13893826941154
2.06875,-2.14783995028403
2.07,-2.15656133680505
2.07125,-2.16510953739098
2.0725,-2.17349131979002
2.07375,-2.18171312930648
2.075,-2.18978110604145
2.07625,-2.19770110119214
2.0775,-2.20547869245259
2.07875,-2.21311919855847
2.08,-2.22062769301878
2.08125,-2.22800901707601
2.0825,-2.23526779193551
2.08375,-2.24240843030358
2.085,-2.24943514727224
2.08625,-2.25635197058721
2.0875,-2.26316275033402
2.08875,-2.26987116807556
2.09,-2.27648074547278
2.09125,-2.28299485241851
2.0925,-2.28941671471303
2.09375,-2.2957494213082
2.095,-2.30199593114576
2.09625,-2.30815907961363
2.0975,-2.31424158464302
2.09875,-2.32024605246753
2.1,-2.32617498306442
2.10125,-2.33203077529679
2.1025,-2.33781573177449
2.10375,-2.34353206345037
2.105,-2.34918189396759
2.10625,-2.35476726377254
2.1075,-2.36029013400732
2.10875,-2.3657523901946
2.11,-2.3711558457271
2.11125,-2.37650224517296
2.1125,-2.38179326740792
2.11375,-2.38703052858404
2.115,-2.39221558494469
2.11625,-2.39734993549437
2.1175,-2.40243502453194
2.11875,-2.40747224405473
2.12,-2.41246293604111
2.12125,-2.41740839461825
2.1225,-2.42230986812151
2.12375,-2.4271685610516
2.125,-2.43198563593504
2.12625,-2.43676221509348
2.1275,-2.44149938232666
2.12875,-2.44619818451396
2.13,-2.45085963313876
2.13125,-2.45548470573999
2.1325,-2.46007434729458
2.13375,-2.46462947153476
2.135,-2.46915096220342
2.13625,-2.47363967425097
2.1375,-2.47809643497681
2.13875,-2.4825220451181
2.14,-2.48691727988886
2.14125,-2.49128288997171
2.1425,-2.4956196024649
2.14375,-2.49992812178671
2.145,-2.50420913053962
2.14625,-2.50846329033605
2.1475,-2.51269124258775
2.14875,-2.51689360926067
2.15,-2.52107099359692
2.15125,-2.52522398080545
2.1525,-2.52935313872319
2.15375,-2.53345901844776
2.155,-2.53754215494339
2.15625,-2.54160306762132
2.1575,-2.54564226089565
2.15875,-2.54966022471625
2.16,-2.55365743507932
2.16125,-2.55763435451709
2.1625,-2.56159143256736
2.16375,-2.56552910622388
2.165,-2.56944780036854
2.16625,-2.57334792818615
2.1675,-2.57722989156253
2.16875,-2.58109408146683
2.17,-2.58494087831865
2.17125,-2.58877065234074
2.1725,-2.59258376389783
2.17375,-2.59638056382232
2.175,-2.60016139372731
2.17625,-2.60392658630761
2.1775,-2.60767646562915
2.17875,-2.61141134740741
2.18,-2.61513153927529
2.18125,-2.61883734104087
2.1825,-2.62252904493544
2.18375,-2.62620693585239
2.185,-2.62987129157714
2.18625,-2.63352238300858
2.1875,-2.63716047437245
2.18875,-2.64078582342681
2.19,-2.64439868166013
2.19125,-2.64799929448213
2.1925,-2.65158790140786
2.19375,-2.65516473623502
2.195,-2.65873002721516
2.19625,-2.66228399721862
2.1975,-2.66582686389377
2.19875,-2.66935883982062
2.2,-2.67288013265906
2.20125,-2.67639094529193
2.2025,-2.67989147596319
2.20375,-2.68338191841128
2.205,-2.68686246199794
2.20625,-2.69033329183263
2.2075,-2.69379458889275
2.20875,-2.69724653013975
2.21,-2.7006892886314
2.21125,-2.70412303363026
2.2125,-2.70754793070861
2.21375,-2.71096414184979
2.215,-2.71437182554634
2.21625,-2.71777113689483
2.2175,-2.72116222768761
2.21875,-2.72454524650164
2.22,-2.72792033878437
2.22125,-2.73128764693695
2.2225,-2.73464731039467
2.22375,-2.73799946570498
2.225,-2.7413442466029
2.22625,-2.74468178408416
2.2275,-2.74801220647601
2.22875,-2.75133563950579
2.23,-2.75465220636746
2.23125,-2.75796202778597
2.2325,-2.76126522207973
2.23375,-2.76456190522119
2.235,-2.76785219089544
2.23625,-2.77113619055725
2.2375,-2.77441401348619
2.23875,-2.77768576684024
2.24,-2.78095155570774
2.24125,-2.78421148315783
2.2425,-2.78746565028935
2.24375,-2.79071415627839
2.245,-2.79395709842437
2.24625,-2.79719457219485
2.2475,-2.80042667126902
2.24875,-2.80365348757988
2.25,-2.80687511135536
